name_raw	vote	name
Rep. Vella, Dave [D]	Yea	Dave Vella
Rep. Walker, Mark L. [D]	Yea	Mark L. Walker
Rep. Walsh Jr., Lawrence M. [D]	Yea	Lawrence Walsh
Rep. Wang Stoneback, Denyse [D]	Yea	Denyse Wang Stoneback
Rep. Weber, Tom [R]	Nay	Tom Weber
"Rep. Welch, Emanuel ""Chris"" [D]"	Yea	Emanuel Chris Welch
Rep. Welter, David A. [R]	Yea	David A. Welter
Rep. West II, Maurice A. [D]	Yea	Maurice A. West, II
Rep. Wheeler, Keith R. [R]	Yea	Keith R. Wheeler
Rep. Wilhour, Blaine [R]	Nay	Blaine Wilhour
Rep. Williams, Ann M. [D]	Yea	Ann M. Williams
Rep. Williams, Jawaharial [D]	Yea	Jawaharial Williams
Rep. Willis, Kathleen [D]	Yea	Kathleen Willis
Rep. Windhorst, Patrick [R]	Nay	Patrick Windhorst
Rep. Yang Rohr, Janet Yang [D]	Yea	Janet Yang Rohr
Rep. Yednock, Lance [D]	Yea	Lance Yednock
Rep. Yingling, Sam [D]	Yea	Sam Yingling
Rep. Zalewski, Michael J. [D]	Yea	Michael J. Zalewski
